"","codmunres","ano","Obito_Materno_investigado_com_Ficha_Sintese","Obito_Materno_investigado_sem_Ficha_Sintese","TOTAL_OBITOS_MATERNOS"
"1","110001",2012,0,0,0
"2","110001",2013,0,0,0
"3","110001",2014,0,0,0
"4","110001",2015,1,0,1
"5","110001",2016,0,0,0
"6","110001",2017,0,0,0
"7","110001",2018,0,0,0
"8","110001",2019,0,0,0
"9","110001",2020,0,0,0
"10","110001",2021,0,0,1
"11","110001",2022,0,0,0
"12","110001",2023,0,0,0
"13","110001",2024,0,0,0
"14","110002",2012,1,0,1
"15","110002",2013,1,0,1
"16","110002",2014,2,0,2
"17","110002",2015,2,0,2
"18","110002",2016,2,0,2
"19","110002",2017,1,0,1
"20","110002",2018,0,0,0
"21","110002",2019,1,0,1
"22","110002",2020,2,0,2
"23","110002",2021,1,0,1
"24","110002",2022,1,0,1
"25","110002",2023,0,0,0
"26","110002",2024,0,0,0
"27","110003",2012,0,0,0
"28","110003",2013,0,0,0
"29","110003",2014,0,0,0
"30","110003",2015,0,0,0
"31","110003",2016,0,0,0
"32","110003",2017,0,0,0
"33","110003",2018,0,0,0
"34","110003",2019,0,0,0
"35","110003",2020,0,0,0
"36","110003",2021,0,0,0
"37","110003",2022,0,0,0
"38","110003",2023,0,0,0
"39","110003",2024,0,0,0
"40","110004",2012,0,0,0
"41","110004",2013,0,0,0
"42","110004",2014,1,0,1
"43","110004",2015,0,0,0
"44","110004",2016,1,0,1
"45","110004",2017,0,0,0
"46","110004",2018,0,0,0
"47","110004",2019,0,0,0
"48","110004",2020,3,0,3
"49","110004",2021,0,0,0
"50","110004",2022,0,0,0
"51","110004",2023,0,0,0
"52","110004",2024,0,0,0
"53","110005",2012,0,0,0
"54","110005",2013,0,0,0
"55","110005",2014,0,0,0
"56","110005",2015,0,0,0
"57","110005",2016,1,0,1
"58","110005",2017,0,0,0
"59","110005",2018,0,0,0
"60","110005",2019,0,0,0
"61","110005",2020,0,0,0
"62","110005",2021,0,0,0
"63","110005",2022,0,0,0
"64","110005",2023,0,0,0
"65","110005",2024,0,0,0
"66","110006",2012,0,0,0
"67","110006",2013,0,0,0
"68","110006",2014,0,0,0
"69","110006",2015,0,0,0
"70","110006",2016,1,0,1
"71","110006",2017,1,0,1
"72","110006",2018,0,0,0
"73","110006",2019,1,0,1
"74","110006",2020,0,0,0
"75","110006",2021,0,0,0
"76","110006",2022,0,0,0
"77","110006",2023,0,0,0
"78","110006",2024,0,0,0
"79","110007",2012,0,0,0
"80","110007",2013,0,0,0
"81","110007",2014,0,0,0
"82","110007",2015,0,0,0
"83","110007",2016,0,0,0
"84","110007",2017,0,0,0
"85","110007",2018,0,0,0
"86","110007",2019,0,0,0
"87","110007",2020,0,0,0
"88","110007",2021,0,0,0
"89","110007",2022,1,0,1
"90","110007",2023,0,0,0
"91","110007",2024,0,0,0
"92","110008",2012,0,0,0
"93","110008",2013,0,0,0
"94","110008",2014,0,0,0
"95","110008",2015,0,0,0
"96","110008",2016,0,0,0
"97","110008",2017,0,0,0
"98","110008",2018,0,0,0
"99","110008",2019,0,0,0
"100","110008",2020,0,0,0
"101","110008",2021,0,0,0
"102","110008",2022,0,0,0
"103","110008",2023,0,0,0
"104","110008",2024,0,0,0
"105","110009",2012,0,0,1
"106","110009",2013,0,0,0
"107","110009",2014,0,0,0
"108","110009",2015,0,0,0
"109","110009",2016,0,0,0
"110","110009",2017,0,0,0
"111","110009",2018,1,0,1
"112","110009",2019,0,0,0
"113","110009",2020,0,0,0
"114","110009",2021,0,0,0
"115","110009",2022,0,0,0
"116","110009",2023,1,0,1
"117","110009",2024,0,0,0
"118","110010",2012,0,0,0
"119","110010",2013,0,0,0
"120","110010",2014,1,0,1
"121","110010",2015,0,0,0
"122","110010",2016,0,0,0
"123","110010",2017,1,0,1
"124","110010",2018,0,0,0
"125","110010",2019,0,0,0
"126","110010",2020,3,0,3
"127","110010",2021,0,0,0
"128","110010",2022,1,0,1
"129","110010",2023,0,0,0
"130","110010",2024,1,0,1
"131","110011",2012,0,0,0
"132","110011",2013,0,0,0
"133","110011",2014,0,0,0
"134","110011",2015,0,0,0
"135","110011",2016,0,0,0
"136","110011",2017,2,0,2
"137","110011",2018,1,0,1
"138","110011",2019,0,0,0
"139","110011",2020,2,0,2
"140","110011",2021,2,0,2
"141","110011",2022,0,0,0
"142","110011",2023,0,0,0
"143","110011",2024,1,0,1
"144","110012",2012,0,0,0
"145","110012",2013,0,0,0
"146","110012",2014,2,0,2
"147","110012",2015,0,0,0
"148","110012",2016,0,0,0
"149","110012",2017,3,0,3
"150","110012",2018,1,0,1
"151","110012",2019,2,0,2
"152","110012",2020,0,0,0
"153","110012",2021,2,0,2
"154","110012",2022,0,0,0
"155","110012",2023,0,0,0
"156","110012",2024,1,0,1
"157","110013",2012,0,0,0
"158","110013",2013,1,0,1
"159","110013",2014,0,0,0
"160","110013",2015,0,0,0
"161","110013",2016,0,0,0
"162","110013",2017,0,0,0
"163","110013",2018,0,0,0
"164","110013",2019,0,0,0
"165","110013",2020,0,0,0
"166","110013",2021,0,0,0
"167","110013",2022,1,0,1
"168","110013",2023,0,0,0
"169","110013",2024,1,0,1
"170","110014",2012,0,0,0
"171","110014",2013,0,0,0
"172","110014",2014,0,0,0
"173","110014",2015,0,0,0
"174","110014",2016,0,0,0
"175","110014",2017,0,0,0
"176","110014",2018,0,0,0
"177","110014",2019,0,0,0
"178","110014",2020,0,0,0
"179","110014",2021,0,0,0
"180","110014",2022,1,0,1
"181","110014",2023,0,0,0
"182","110014",2024,0,0,0
"183","110015",2012,0,0,0
"184","110015",2013,0,0,0
"185","110015",2014,1,0,1
"186","110015",2015,0,0,0
"187","110015",2016,0,0,0
"188","110015",2017,2,0,2
"189","110015",2018,0,0,0
"190","110015",2019,0,0,0
"191","110015",2020,0,0,0
"192","110015",2021,1,0,1
"193","110015",2022,0,0,0
"194","110015",2023,0,0,0
"195","110015",2024,0,0,0
"196","110018",2012,0,0,0
"197","110018",2013,1,0,1
"198","110018",2014,0,0,0
"199","110018",2015,0,0,0
"200","110018",2016,0,0,0
"201","110018",2017,0,0,0
"202","110018",2018,0,0,0
"203","110018",2019,0,0,0
"204","110018",2020,0,0,0
"205","110018",2021,1,0,1
"206","110018",2022,1,0,1
"207","110018",2023,0,0,0
"208","110018",2024,0,0,0
"209","110020",2012,8,0,8
"210","110020",2013,7,0,7
"211","110020",2014,8,0,8
"212","110020",2015,5,0,5
"213","110020",2016,8,0,8
"214","110020",2017,5,0,5
"215","110020",2018,4,0,4
"216","110020",2019,6,0,6
"217","110020",2020,5,0,5
"218","110020",2021,14,0,14
"219","110020",2022,3,0,3
"220","110020",2023,4,0,4
"221","110020",2024,2,0,2
"222","110025",2012,0,0,0
"223","110025",2013,0,0,0
"224","110025",2014,1,0,1
"225","110025",2015,0,0,0
"226","110025",2016,0,0,0
"227","110025",2017,0,0,0
"228","110025",2018,0,0,0
"229","110025",2019,0,0,0
"230","110025",2020,0,0,0
"231","110025",2021,2,0,2
"232","110025",2022,1,0,1
"233","110025",2023,0,0,0
"234","110025",2024,0,0,0
"235","110026",2012,0,0,0
"236","110026",2013,0,0,0
"237","110026",2014,0,0,0
"238","110026",2015,0,0,0
"239","110026",2016,0,0,0
"240","110026",2017,0,0,0
"241","110026",2018,0,0,0
"242","110026",2019,0,0,0
"243","110026",2020,0,0,0
"244","110026",2021,0,0,0
"245","110026",2022,0,0,0
"246","110026",2023,0,0,0
"247","110026",2024,0,0,0
"248","110028",2012,1,0,1
"249","110028",2013,0,0,0
"250","110028",2014,0,0,0
"251","110028",2015,1,0,1
"252","110028",2016,1,0,1
"253","110028",2017,0,0,0
"254","110028",2018,0,0,0
"255","110028",2019,0,0,0
"256","110028",2020,0,0,0
"257","110028",2021,4,0,4
"258","110028",2022,0,0,0
"259","110028",2023,2,0,2
"260","110028",2024,0,0,0
"261","110029",2012,0,0,0
"262","110029",2013,0,0,0
"263","110029",2014,0,0,0
"264","110029",2015,0,0,0
"265","110029",2016,0,0,0
"266","110029",2017,0,0,0
"267","110029",2018,0,0,0
"268","110029",2019,0,0,0
"269","110029",2020,0,0,0
"270","110029",2021,0,0,0
"271","110029",2022,0,0,0
"272","110029",2023,0,0,0
"273","110029",2024,0,0,0
"274","110030",2012,2,0,2
"275","110030",2013,3,0,3
"276","110030",2014,3,0,3
"277","110030",2015,1,0,1
"278","110030",2016,0,0,0
"279","110030",2017,0,0,0
"280","110030",2018,1,0,1
"281","110030",2019,0,0,0
"282","110030",2020,2,0,2
"283","110030",2021,5,0,5
"284","110030",2022,0,0,0
"285","110030",2023,0,0,0
"286","110030",2024,0,0,0
"287","110032",2012,0,0,0
"288","110032",2013,0,0,0
"289","110032",2014,0,0,0
"290","110032",2015,0,0,0
"291","110032",2016,1,0,1
"292","110032",2017,0,0,0
"293","110032",2018,0,0,0
"294","110032",2019,0,0,0
"295","110032",2020,0,0,0
"296","110032",2021,0,0,0
"297","110032",2022,0,0,0
"298","110032",2023,0,0,0
"299","110032",2024,0,0,0
"300","110033",2012,1,0,1
"301","110033",2013,0,0,0
"302","110033",2014,0,0,0
"303","110033",2015,0,0,0
"304","110033",2016,0,0,0
"305","110033",2017,0,0,0
"306","110033",2018,0,0,0
"307","110033",2019,0,0,0
"308","110033",2020,0,0,1
"309","110033",2021,1,0,1
"310","110033",2022,0,0,0
"311","110033",2023,0,0,0
"312","110033",2024,0,0,0
"313","110034",2012,0,0,0
"314","110034",2013,0,0,0
"315","110034",2014,0,0,0
"316","110034",2015,1,0,1
"317","110034",2016,0,0,0
"318","110034",2017,0,0,0
"319","110034",2018,1,0,1
"320","110034",2019,0,0,0
"321","110034",2020,0,0,0
"322","110034",2021,1,0,1
"323","110034",2022,0,0,0
"324","110034",2023,0,0,0
"325","110034",2024,0,0,0
"326","110037",2012,0,0,0
"327","110037",2013,0,0,0
"328","110037",2014,0,0,0
"329","110037",2015,0,0,0
"330","110037",2016,0,0,0
"331","110037",2017,1,0,1
"332","110037",2018,0,0,0
"333","110037",2019,0,0,0
"334","110037",2020,0,0,0
"335","110037",2021,0,0,0
"336","110037",2022,0,0,0
"337","110037",2023,0,0,0
"338","110037",2024,0,0,0
"339","110040",2012,0,0,0
"340","110040",2013,1,0,1
"341","110040",2014,0,0,0
