"","codmunres","ano","Obito_MIF_investigado_com_Ficha_Sintese","Obito_MIF_investigado_sem_Ficha_Sintese","TOTAL_OBITOS_MULHER_IDADE_FERTIL"
"1","110001",2012,1,0,5
"2","110001",2013,6,0,6
"3","110001",2014,5,0,5
"4","110001",2015,11,0,11
"5","110001",2016,8,0,8
"6","110001",2017,7,0,7
"7","110001",2018,3,0,3
"8","110001",2019,8,0,9
"9","110001",2020,1,1,5
"10","110001",2021,7,0,9
"11","110001",2022,6,0,8
"12","110001",2023,10,0,10
"13","110001",2024,7,0,7
"14","110002",2012,33,0,33
"15","110002",2013,36,0,36
"16","110002",2014,35,0,35
"17","110002",2015,41,0,41
"18","110002",2016,35,0,35
"19","110002",2017,25,0,25
"20","110002",2018,27,0,27
"21","110002",2019,44,0,44
"22","110002",2020,44,0,44
"23","110002",2021,68,0,68
"24","110002",2022,52,0,52
"25","110002",2023,28,0,28
"26","110002",2024,34,0,34
"27","110003",2012,1,0,2
"28","110003",2013,2,0,3
"29","110003",2014,1,0,1
"30","110003",2015,1,0,1
"31","110003",2016,1,1,3
"32","110003",2017,0,1,1
"33","110003",2018,0,0,1
"34","110003",2019,0,1,2
"35","110003",2020,1,0,1
"36","110003",2021,3,0,4
"37","110003",2022,2,0,2
"38","110003",2023,2,0,2
"39","110003",2024,1,0,1
"40","110004",2012,27,0,27
"41","110004",2013,27,0,27
"42","110004",2014,31,0,32
"43","110004",2015,22,0,22
"44","110004",2016,31,0,31
"45","110004",2017,32,0,32
"46","110004",2018,21,0,21
"47","110004",2019,23,0,23
"48","110004",2020,37,0,37
"49","110004",2021,36,0,36
"50","110004",2022,28,0,28
"51","110004",2023,24,0,24
"52","110004",2024,24,0,24
"53","110005",2012,7,0,7
"54","110005",2013,10,0,10
"55","110005",2014,7,0,7
"56","110005",2015,5,0,5
"57","110005",2016,7,0,7
"58","110005",2017,5,0,5
"59","110005",2018,5,0,5
"60","110005",2019,8,0,8
"61","110005",2020,13,0,13
"62","110005",2021,11,0,11
"63","110005",2022,3,0,3
"64","110005",2023,3,0,3
"65","110005",2024,11,0,11
"66","110006",2012,3,0,5
"67","110006",2013,1,0,5
"68","110006",2014,1,0,3
"69","110006",2015,1,1,5
"70","110006",2016,4,0,5
"71","110006",2017,3,0,6
"72","110006",2018,1,0,5
"73","110006",2019,5,0,5
"74","110006",2020,8,0,8
"75","110006",2021,10,0,10
"76","110006",2022,4,0,4
"77","110006",2023,2,0,2
"78","110006",2024,4,0,4
"79","110007",2012,1,0,1
"80","110007",2013,1,0,2
"81","110007",2014,0,0,0
"82","110007",2015,0,0,0
"83","110007",2016,1,0,1
"84","110007",2017,4,0,4
"85","110007",2018,2,0,2
"86","110007",2019,0,0,1
"87","110007",2020,4,0,4
"88","110007",2021,5,0,5
"89","110007",2022,2,0,2
"90","110007",2023,2,0,2
"91","110007",2024,0,0,0
"92","110008",2012,5,0,6
"93","110008",2013,2,0,3
"94","110008",2014,5,0,5
"95","110008",2015,6,0,6
"96","110008",2016,2,0,2
"97","110008",2017,3,0,3
"98","110008",2018,5,0,5
"99","110008",2019,2,0,3
"100","110008",2020,2,0,2
"101","110008",2021,7,0,7
"102","110008",2022,3,0,3
"103","110008",2023,7,0,7
"104","110008",2024,6,0,6
"105","110009",2012,3,0,7
"106","110009",2013,0,0,1
"107","110009",2014,0,0,5
"108","110009",2015,1,0,9
"109","110009",2016,3,0,9
"110","110009",2017,6,0,7
"111","110009",2018,6,0,6
"112","110009",2019,5,0,5
"113","110009",2020,11,0,11
"114","110009",2021,11,0,11
"115","110009",2022,12,0,12
"116","110009",2023,7,0,7
"117","110009",2024,14,0,14
"118","110010",2012,18,0,19
"119","110010",2013,23,0,23
"120","110010",2014,12,0,12
"121","110010",2015,20,0,20
"122","110010",2016,19,0,19
"123","110010",2017,17,0,18
"124","110010",2018,16,0,16
"125","110010",2019,12,0,12
"126","110010",2020,17,0,17
"127","110010",2021,13,0,13
"128","110010",2022,19,0,19
"129","110010",2023,12,0,12
"130","110010",2024,13,0,13
"131","110011",2012,12,0,12
"132","110011",2013,11,0,12
"133","110011",2014,6,0,9
"134","110011",2015,7,0,19
"135","110011",2016,16,0,16
"136","110011",2017,19,0,19
"137","110011",2018,17,0,17
"138","110011",2019,21,0,21
"139","110011",2020,20,0,20
"140","110011",2021,27,0,27
"141","110011",2022,13,0,13
"142","110011",2023,16,0,16
"143","110011",2024,22,0,22
"144","110012",2012,36,0,44
"145","110012",2013,49,0,53
"146","110012",2014,37,0,37
"147","110012",2015,45,1,46
"148","110012",2016,32,0,32
"149","110012",2017,53,0,54
"150","110012",2018,42,0,42
"151","110012",2019,35,0,36
"152","110012",2020,26,0,26
"153","110012",2021,70,0,80
"154","110012",2022,57,0,57
"155","110012",2023,42,0,42
"156","110012",2024,44,0,44
"157","110013",2012,19,0,19
"158","110013",2013,7,0,8
"159","110013",2014,16,0,16
"160","110013",2015,11,0,11
"161","110013",2016,11,0,11
"162","110013",2017,8,0,8
"163","110013",2018,9,0,9
"164","110013",2019,4,0,4
"165","110013",2020,9,0,9
"166","110013",2021,13,0,13
"167","110013",2022,16,0,16
"168","110013",2023,6,0,6
"169","110013",2024,12,0,12
"170","110014",2012,4,0,4
"171","110014",2013,3,0,3
"172","110014",2014,4,0,4
"173","110014",2015,6,0,6
"174","110014",2016,9,0,9
"175","110014",2017,2,0,2
"176","110014",2018,6,0,6
"177","110014",2019,2,0,2
"178","110014",2020,4,0,4
"179","110014",2021,5,0,6
"180","110014",2022,7,0,7
"181","110014",2023,6,0,6
"182","110014",2024,2,0,2
"183","110015",2012,19,0,20
"184","110015",2013,10,0,10
"185","110015",2014,20,1,21
"186","110015",2015,14,0,14
"187","110015",2016,12,0,12
"188","110015",2017,9,0,9
"189","110015",2018,9,0,9
"190","110015",2019,15,0,15
"191","110015",2020,11,0,12
"192","110015",2021,15,0,15
"193","110015",2022,18,0,18
"194","110015",2023,16,0,16
"195","110015",2024,9,0,9
"196","110018",2012,16,0,16
"197","110018",2013,20,0,20
"198","110018",2014,7,0,7
"199","110018",2015,15,0,15
"200","110018",2016,12,0,12
"201","110018",2017,13,0,13
"202","110018",2018,19,0,19
"203","110018",2019,13,0,13
"204","110018",2020,9,0,9
"205","110018",2021,16,0,16
"206","110018",2022,15,0,15
"207","110018",2023,9,0,9
"208","110018",2024,7,0,7
"209","110020",2012,135,2,187
"210","110020",2013,141,1,176
"211","110020",2014,162,1,185
"212","110020",2015,120,0,167
"213","110020",2016,150,0,181
"214","110020",2017,166,0,167
"215","110020",2018,135,1,142
"216","110020",2019,143,2,150
"217","110020",2020,206,0,220
"218","110020",2021,285,0,301
"219","110020",2022,186,0,201
"220","110020",2023,176,0,189
"221","110020",2024,140,0,150
"222","110025",2012,3,0,7
"223","110025",2013,2,0,6
"224","110025",2014,8,0,11
"225","110025",2015,9,0,9
"226","110025",2016,6,0,6
"227","110025",2017,8,0,8
"228","110025",2018,5,0,5
"229","110025",2019,7,0,7
"230","110025",2020,6,0,6
"231","110025",2021,8,0,9
"232","110025",2022,7,0,8
"233","110025",2023,6,0,7
"234","110025",2024,7,0,9
"235","110026",2012,3,0,3
"236","110026",2013,1,0,1
"237","110026",2014,0,0,1
"238","110026",2015,0,0,0
"239","110026",2016,1,0,2
"240","110026",2017,1,0,1
"241","110026",2018,1,0,1
"242","110026",2019,0,0,0
"243","110026",2020,2,0,2
"244","110026",2021,3,0,3
"245","110026",2022,1,0,1
"246","110026",2023,2,0,2
"247","110026",2024,0,0,0
"248","110028",2012,15,0,15
"249","110028",2013,18,0,18
"250","110028",2014,18,0,19
"251","110028",2015,18,0,18
"252","110028",2016,19,0,19
"253","110028",2017,18,0,18
"254","110028",2018,14,0,14
"255","110028",2019,18,0,18
"256","110028",2020,15,0,15
"257","110028",2021,33,0,33
"258","110028",2022,24,0,24
"259","110028",2023,21,0,21
"260","110028",2024,29,0,29
"261","110029",2012,4,0,4
"262","110029",2013,3,0,3
"263","110029",2014,4,0,4
"264","110029",2015,1,0,1
"265","110029",2016,1,0,1
"266","110029",2017,0,0,0
"267","110029",2018,2,0,2
"268","110029",2019,2,0,4
"269","110029",2020,1,0,3
"270","110029",2021,0,0,2
"271","110029",2022,5,0,5
"272","110029",2023,1,0,1
"273","110029",2024,2,0,2
"274","110030",2012,27,0,27
"275","110030",2013,27,0,27
"276","110030",2014,29,0,29
"277","110030",2015,20,0,20
"278","110030",2016,19,0,19
"279","110030",2017,30,0,30
"280","110030",2018,34,0,34
"281","110030",2019,20,0,20
"282","110030",2020,39,0,40
"283","110030",2021,52,0,52
"284","110030",2022,37,0,37
"285","110030",2023,39,0,39
"286","110030",2024,47,0,47
"287","110032",2012,7,0,7
"288","110032",2013,3,0,3
"289","110032",2014,3,0,3
"290","110032",2015,8,0,8
"291","110032",2016,6,0,6
"292","110032",2017,6,0,6
"293","110032",2018,6,0,6
"294","110032",2019,2,0,2
"295","110032",2020,4,0,5
"296","110032",2021,10,0,10
"297","110032",2022,11,0,11
"298","110032",2023,4,0,4
"299","110032",2024,6,0,6
"300","110033",2012,11,0,11
"301","110033",2013,4,0,4
"302","110033",2014,8,0,8
"303","110033",2015,2,0,2
"304","110033",2016,0,0,7
"305","110033",2017,5,0,6
"306","110033",2018,7,0,7
"307","110033",2019,4,0,4
"308","110033",2020,12,0,13
"309","110033",2021,16,0,16
"310","110033",2022,10,0,10
