"codmunres","ano","nascimentos","partos_na_macro_com_1mais_uti","partos_na_macro_com_4mais_uti","partos_na_macro_sem_1mais_uti","partos_na_macro_sem_4mais_uti","partos_fora_macro_com_1mais_uti","partos_fora_macro_com_4mais_uti","partos_fora_macro_sem_1mais_uti","partos_fora_macro_sem_4mais_uti","partos_na_macro_sem_inf","partos_fora_macro_sem_inf"
110001,2023,5,0,0,2,2,3,3,0,0,0,0
110001,2024,4,0,0,1,1,3,3,0,0,0,0
110001,2025,3,0,0,0,0,3,3,0,0,0,0
110002,2023,15,9,9,6,6,0,0,0,0,0,0
110002,2024,12,6,6,6,6,0,0,0,0,0,0
110002,2025,7,3,3,4,4,0,0,0,0,0,0
110003,2023,0,0,0,0,0,0,0,0,0,0,0
110003,2024,0,0,0,0,0,0,0,0,0,0,0
110003,2025,0,0,0,0,0,0,0,0,0,0,0
110004,2023,20,0,0,14,14,6,6,0,0,0,0
110004,2024,14,1,1,6,6,6,6,0,0,1,0
110004,2025,12,2,2,5,5,5,5,0,0,0,0
110005,2023,2,0,0,2,2,0,0,0,0,0,0
110005,2024,2,0,0,2,2,0,0,0,0,0,0
110005,2025,5,0,0,5,5,0,0,0,0,0,0
110006,2023,3,0,0,2,2,1,1,0,0,0,0
110006,2024,1,0,0,0,0,1,1,0,0,0,0
110006,2025,1,0,0,0,0,1,1,0,0,0,0
110007,2023,0,0,0,0,0,0,0,0,0,0,0
110007,2024,0,0,0,0,0,0,0,0,0,0,0
110007,2025,0,0,0,0,0,0,0,0,0,0,0
110008,2023,3,0,0,2,2,1,1,0,0,0,0
110008,2024,0,0,0,0,0,0,0,0,0,0,0
110008,2025,3,0,0,2,2,1,1,0,0,0,0
110009,2023,5,2,2,0,0,3,3,0,0,0,0
110009,2024,7,0,0,5,5,2,2,0,0,0,0
110009,2025,0,0,0,0,0,0,0,0,0,0,0
110010,2023,5,2,2,0,0,0,0,0,0,3,0
110010,2024,4,3,3,0,0,0,0,0,0,1,0
110010,2025,5,4,3,0,1,0,0,0,0,1,0
110011,2023,8,5,5,2,2,0,0,1,1,0,0
110011,2024,5,1,1,2,2,0,0,0,0,0,2
110011,2025,5,4,4,0,0,0,0,1,1,0,0
110012,2023,16,0,0,10,10,6,6,0,0,0,0
