"codmunres","ano","total_de_nascidos_vivos","total_de_nascidos_vivos_10_a_14","total_de_nascidos_vivos_15_a_19","total_de_nascidos_vivos_20_a_29","total_de_nascidos_vivos_30_a_39","total_de_nascidos_vivos_40_a_49","total_de_nascidos_vivos_10_a_49.x","nvm_menor_que_20","mulheres_com_mais_de_tres_partos_anteriores","populacao_feminina_10_a_14","populacao_feminina_15_a_19","populacao_feminina_20_a_29","populacao_feminina_30_a_39","populacao_feminina_40_a_49","populacao_feminina_10_a_49","pop_fem_10_49","pop_fem_ans_10_49","pop_fem_sus_10_49","total_de_nascidos_vivos_10_a_49.y","total_de_nascidos_vivos_10_a_49_ans","total_de_nascidos_vivos_10_a_49_sus","abortos_ans_30_a_39","abortos_ans_menor_30","abortos_ans_40_a_49","abortos_sus_30_a_39","abortos_sus_40_a_49","abortos_sus_menor_30"
"110001",2023,383,4,57,196,119,7,383,61,12,1721,1795,3441,3440,3306,13703,13703,3515,10188,383,99,284,2,0,0,6,1,5
"110001",2024,293,2,52,153,81,5,293,54,10,1696,1726,3365,3379,3295,13461,13461,3456,10005,293,74,219,0,1,0,3,0,3
"110001",2025,218,1,30,112,68,7,218,31,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,218,56,162,NA,NA,NA,NA,NA,NA
"110002",2023,1515,12,198,824,440,41,1515,210,52,8082,8583,18763,17299,15429,68156,68156,17561,50595,1515,402,1113,5,0,0,15,3,31
"110002",2024,1364,9,190,726,403,36,1364,199,43,8120,8391,18724,17316,15730,68281,68281,17611,50670,1364,360,1004,0,1,2,5,0,25
"110002",2025,947,5,101,512,308,21,947,106,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,947,254,693,NA,NA,NA,NA,NA,NA
"110003",2023,77,0,10,47,19,1,77,10,0,452,415,622,827,831,3147,3147,804,2343,77,19,58,1,0,0,1,0,2
"110003",2024,60,0,8,27,25,0,60,8,0,438,406,611,802,842,3099,3099,792,2307,60,16,44,0,0,0,1,0,0
"110003",2025,58,0,4,33,18,3,58,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,13,45,NA,NA,NA,NA,NA,NA
"110004",2023,1343,4,135,742,431,31,1343,139,20,6752,7176,16661,15642,13867,60098,60098,15573,44525,1343,361,982,7,5,0,17,3,30
"110004",2024,1258,3,122,672,419,42,1258,125,31,6788,7075,16590,15752,14183,60388,60388,15663,44725,1258,341,917,8,1,2,12,5,24
"110004",2025,974,1,80,524,339,30,974,81,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,974,266,708,NA,NA,NA,NA,NA,NA
"110005",2023,280,2,32,140,100,6,280,34,3,1213,1224,2558,2750,2375,10120,10120,2622,7498,280,75,205,0,1,0,1,0,4
"110005",2024,236,1,28,121,85,1,236,29,5,1218,1185,2489,2732,2399,10023,10023,2598,7425,236,63,173,1,0,0,0,1,1
"110005",2025,186,1,15,100,60,10,186,16,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,49,137,NA,NA,NA,NA,NA,NA
