uf,cod_uf,ano,local,outra_uf,dentro_macrorregiao_saude,dentro_regiao_saude,fora_macrorregiao_saude,km_partos_fora_macrorregiao,km_partos_na_macrorregiao,km_partos_na_regiao,km_partos_fora_uf,km_partos_fora_macrorregiao_alta_complexidade,km_partos_na_macrorregiao_alta_complexidade,km_partos_na_regiao_alta_complexidade,km_partos_fora_uf_alta_complexidade,km_partos_fora_macrorregiao_baixa_complexidade,km_partos_na_macrorregiao_baixa_complexidade,km_partos_na_regiao_baixa_complexidade,km_partos_fora_uf_baixa_complexidade,nao_local,km_partos_fora_municipio,km_partos_fora_municipio_alta_complexidade,km_partos_fora_municipio_baixa_complexidade,destino_total
Rondônia,11,2023,17415,343,1257,4511,394,480.0495,179.7404,59.5028,510.8572,483.308,208.0819,88.9952,510.8572,334.3138,142.0344,49.096,510.8572,6505,77.3936,110.2141,61.6844,23921
Rondônia,11,2024,16033,355,1011,3970,347,480.0495,179.7404,59.5028,510.8572,483.308,223.1,88.9952,510.8572,336.9466,123.041,49.096,510.8572,5683,81.2011,108.5863,61.2882,21716
Rondônia,11,2025,10984,212,765,2718,244,480.0495,177.9489,61.2882,510.8572,481.7105,223.1,94.9454,510.8572,304.2812,118.4101,52.2042,510.8572,3939,85.8202,108.6291,61.6844,14923
Acre,12,2023,10457,26,468,3522,0,0,230.9522,71.7264,945.8746,0,234.3166,60.4966,2897.2904,0,230.9522,71.7264,904.9679,4016,72.9459,82.2347,72.9459,14473
Acre,12,2024,9361,26,402,3312,0,0,234.3166,71.7264,2323.9206,0,234.3166,60.4966,3052.9509,0,230.9824,71.7264,1177.0624,3740,72.9459,82.2347,72.9459,13101
Acre,12,2025,6108,21,290,2358,0,0,234.3166,71.7264,1812.3111,0,234.3166,60.4966,3235.0084,0,230.9522,71.7264,902.1701,2669,72.9459,84.7061,72.9459,8779
Amazonas,13,2023,65498,693,413,3209,629,322.9488,101.5978,50.4066,205.3184,347.9434,130.5185,80.6207,223.1406,198.4609,101.5978,42.6728,100.1685,4944,80.6207,125.7539,50.4066,70453
Amazonas,13,2024,61314,699,443,2893,594,322.9488,130.5185,50.4066,223.1406,438.6758,218.9584,80.6207,223.1406,89.8638,130.5185,50.4066,100.1685,4629,89.8638,125.9933,52.1978,65950
Amazonas,13,2025,39367,444,287,1788,370,322.9488,130.5185,50.4066,223.1406,439.8259,130.5185,67.7886,271.9164,89.8638,130.5185,50.4066,100.1685,2889,89.8638,125.9933,50.4066,42259
Roraima,14,2023,9902,38,565,2600,0,0,138.9928,124.1228,911.3309,0,296.6059,91.3813,2731.6174,0,138.9928,124.1228,887.717,3203,138.9928,864.1031,138.9928,13105
Roraima,14,2024,8975,35,538,2542,0,0,138.9928,124.1228,864.1031,0,0,0,924.1094,0,138.9928,124.1228,704.2087,3115,138.9928,924.1094,138.9928,12090
Roraima,14,2025,5375,18,322,1775,0,0,138.9928,127.2469,864.1031,0,0,27.3561,864.1031,0,138.9928,127.2469,867.2006,2115,138.9928,864.1031,138.9928,7490
Pará,15,2023,92482,2330,3197,21004,7138,131.1177,161.1494,36.9037,243.5271,138.9615,161.1494,28.414,243.5271,131.1177,157.7694,51.7757,207.6456,33669,69.6531,71.4109,61.4385,126152
Pará,15,2024,86494,2160,3188,19769,6955,138.9615,161.1494,39.6396,200.481,141.6441,161.1494,24.6868,200.481,125.4156,163.7795,51.7905,168.826,32072,71.4109,71.4109,68.6254,118566
Pará,15,2025,53085,1524,1872,11757,3483,145.4327,145.1726,49.9953,207.6456,145.4327,133.288,34.2419,207.6456,146.8312,157.7694,56.6672,264.5521,18636,72.8371,71.4109,74.6241,71721
Amapá,16,2023,10125,23,1578,1222,0,0,21.3422,115.9282,694.488,0,21.3422,115.9282,2636.3812,0,34.7156,27.0658,264.5521,2823,34.7156,101.9617,27.0658,12948
