codmunres,ano,local,outra_uf,dentro_macrorregiao_saude,dentro_regiao_saude,fora_macrorregiao_saude,km_partos_fora_macrorregiao,km_partos_na_macrorregiao,km_partos_na_regiao,km_partos_fora_uf,km_partos_fora_macrorregiao_alta_complexidade,km_partos_na_macrorregiao_alta_complexidade,km_partos_na_regiao_alta_complexidade,km_partos_fora_uf_alta_complexidade,km_partos_fora_macrorregiao_baixa_complexidade,km_partos_na_macrorregiao_baixa_complexidade,km_partos_na_regiao_baixa_complexidade,km_partos_fora_uf_baixa_complexidade,nao_local,km_partos_fora_municipio,km_partos_fora_municipio_alta_complexidade,km_partos_fora_municipio_baixa_complexidade,destino_total,total_n_local_mun,codmunnasc1,n_nasc1,x_1,codmunnasc2,n_nasc2,x_2,codmunnasc3,n_nasc3,x_3,cnes,nasc_estab,nome_estabelecimento_fantasia,nascimentos,partos_na_macro_com_1mais_uti,partos_na_macro_com_4mais_uti,partos_na_macro_sem_1mais_uti,partos_na_macro_sem_4mais_uti,partos_fora_macro_com_1mais_uti,partos_fora_macro_com_4mais_uti,partos_fora_macro_sem_1mais_uti,partos_fora_macro_sem_4mais_uti,partos_na_macro_sem_inf,partos_fora_macro_sem_inf
110001,2023,30,3,58,282,10,505.8561,81.2011,48.6099,2737.2186,505.8561,130.7705,0,2737.2186,0,81.2011,48.6099,0,353,48.6099,505.8561,48.6099,383,353,110028,282,79.9,110004,41,11.6,110020,10,2.8,2495228,264,HOSPITAL MUNICIPAL AMELIO JOAO DA SILVA,5,0,0,2,2,3,3,0,0,0,0
110001,2024,23,1,50,208,11,505.8561,81.2011,48.6099,798.6791,505.8561,235.1904,0,798.6791,358.154,81.2011,48.6099,0,270,48.6099,505.8561,48.6099,293,270,110028,208,77,110004,42,15.6,110020,10,3.7,2495228,186,HOSPITAL MUNICIPAL AMELIO JOAO DA SILVA,4,0,0,1,1,3,3,0,0,0,0
110001,2025,41,0,33,131,13,505.8561,81.2011,48.6099,0,505.8561,172.9263,0,0,0,81.2011,48.6099,0,177,48.6099,505.8561,48.6099,218,177,110028,131,74,110004,30,16.9,110020,13,7.3,2495228,111,HOSPITAL MUNICIPAL AMELIO JOAO DA SILVA,3,0,0,0,0,3,3,0,0,0,0
110002,2023,1415,1,66,23,10,232.5646,203.5818,130.9638,4514.4626,181.3642,203.5818,0,4514.4626,286.5261,0,130.9638,0,100,203.5818,203.5818,130.9638,1515,100,110020,60,60,110045,23,23,110011,6,6,4001303,55,HOSPITAL DE BASE PORTO VELHO,15,9,9,6,6,0,0,0,0,0,0
110002,2024,1310,1,36,7,10,181.3642,203.5818,130.9638,2769.1429,210.6174,203.5818,0,0,181.3642,0,130.9638,2769.1429,54,203.5818,203.5818,137.4697,1364,54,110020,35,64.8,110045,7,13,110004,3,5.6,4001303,30,HOSPITAL DE BASE PORTO VELHO,12,6,6,6,6,0,0,0,0,0,0
110002,2025,915,2,19,4,7,192.706,203.5818,130.9638,667.2215,181.3642,203.5818,0,0,196.8601,0,130.9638,667.2215,32,203.5818,203.5818,165.0879,947,32,110020,15,46.9,110011,4,12.5,110045,4,12.5,4001303,13,HOSPITAL DE BASE PORTO VELHO,7,3,3,4,4,0,0,0,0,0,0
110003,2023,0,0,8,67,2,807.6121,288.7265,100.5868,0,807.6121,0,100.5868,0,0,288.7265,46.8485,0,77,100.5868,100.5868,288.7265,77,77,110030,66,85.7,110018,7,9.1,110020,2,2.6,2798484,58,HOSPITAL REGIONAL ADAMASTOR TEIXEIRA DE OLIVEIRA,0,0,0,0,0,0,0,0,0,0,0
110003,2024,0,0,1,58,1,807.6121,288.7265,100.5868,0,807.6121,0,100.5868,0,0,288.7265,0,0,60,100.5868,100.5868,288.7265,60,60,110030,58,96.7,110018,1,1.7,110020,1,1.7,2798484,53,HOSPITAL REGIONAL ADAMASTOR TEIXEIRA DE OLIVEIRA,0,0,0,0,0,0,0,0,0,0,0
110003,2025,1,0,6,51,0,0,308.407,100.5868,0,0,0,100.5868,0,0,308.407,0,0,57,100.5868,100.5868,308.407,58,57,110030,51,89.5,110018,3,5.3,110004,1,1.8,2798484,49,HOSPITAL REGIONAL ADAMASTOR TEIXEIRA DE OLIVEIRA,0,0,0,0,0,0,0,0,0,0,0
110004,2023,1272,5,17,21,28,480.0495,104.9639,41.4266,980.578,480.0495,104.9639,0,980.578,405.0191,147.1197,41.4266,0,71,147.1197,480.0495,62.5769,1343,71,110020,25,35.2,110018,12,16.9,110009,9,12.7,4001303,23,HOSPITAL DE BASE PORTO VELHO,20,0,0,14,14,6,6,0,0,0,0
110004,2024,1188,5,15,18,32,480.0495,147.1197,52.0018,2585.6796,480.0495,147.1197,0,2418,0,104.9639,52.0018,2935.034,70,480.0495,480.0495,62.5769,1258,70,110020,32,45.7,110009,9,12.9,110018,9,12.9,4001303,31,HOSPITAL DE BASE PORTO VELHO,14,1,1,6,6,6,6,0,0,1,0
110004,2025,926,5,13,12,18,480.0495,147.1197,62.5769,2697.844,480.0495,147.1197,0,2698.0485,0,104.9639,62.5769,1912.6017,48,226.18,480.0495,62.5769,974,48,110020,18,37.5,110009,7,14.6,110015,6,12.5,4001303,18,HOSPITAL DE BASE PORTO VELHO,12,2,2,5,5,5,5,0,0,0,0
110005,2023,120,3,15,139,3,799.9113,320.4296,94.9454,877.6142,799.9113,424.8257,94.9454,877.6142,0,310.537,94.9454,0,160,94.9454,94.9454,295.7813,280,160,110030,139,86.9,110018,5,3.1,110004,3,1.9,2798484,105,HOSPITAL REGIONAL ADAMASTOR TEIXEIRA DE OLIVEIRA,2,0,0,2,2,0,0,0,0,0,0
