"","codmunres","ano","total_internacoes_ans","casos_mmg_ans_transfusao","casos_mmg_ans_tmp","casos_mmg_ans_hipertensao","casos_mmg_ans_hemorragia","casos_mmg_ans_infeccoes","casos_mmg_ans_cirurgia","casos_mmg_ans_uti","casos_mmg_ans","total_tipo_obst","cid_ign","total_tipo_obst_2"
"1",110001,2012,0,0,0,0,0,0,0,0,0,0,0,0
"2",110001,2013,0,0,0,0,0,0,0,0,0,0,0,0
"3",110001,2014,0,0,0,0,0,0,0,0,0,0,0,0
"4",110001,2015,123,0,3,2,3,0,0,2,10,78,27,78
"5",110001,2016,124,0,0,5,1,0,1,4,11,97,30,97
"6",110001,2017,153,0,4,6,1,0,1,12,23,108,26,106
"7",110001,2018,102,0,1,1,0,0,1,5,9,74,21,74
"8",110001,2019,149,0,1,2,3,0,0,7,14,95,26,95
"9",110001,2020,32,0,0,0,1,0,0,1,2,26,3,26
"10",110001,2021,27,0,0,0,0,0,0,0,1,23,5,23
"11",110001,2022,16,0,0,1,0,0,0,0,1,11,4,11
"12",110002,2012,0,0,0,0,0,0,0,0,0,0,0,0
"13",110002,2013,0,0,0,0,0,0,0,0,0,0,0,0
"14",110002,2014,0,0,0,0,0,0,0,0,0,0,0,0
"15",110002,2015,157,0,3,0,1,0,0,0,6,121,17,121
"16",110002,2016,148,0,1,0,2,0,0,0,3,123,23,123
"17",110002,2017,127,0,2,1,2,0,0,1,6,110,16,110
"18",110002,2018,132,1,0,0,2,0,0,0,3,105,22,105
"19",110002,2019,155,0,0,0,2,0,0,2,4,129,85,129
"20",110002,2020,83,0,1,0,0,0,0,1,3,73,62,73
"21",110002,2021,99,0,2,1,0,0,1,0,4,87,49,87
"22",110002,2022,103,0,3,3,3,0,1,1,12,89,55,89
"23",110003,2012,0,0,0,0,0,0,0,0,0,0,0,0
"24",110003,2013,0,0,0,0,0,0,0,0,0,0,0,0
"25",110003,2014,0,0,0,0,0,0,0,0,0,0,0,0
"26",110003,2015,2,0,0,0,0,0,0,0,0,2,0,2
"27",110003,2016,2,0,0,0,0,0,0,0,0,1,0,1
"28",110003,2017,2,0,0,0,0,0,0,0,0,2,2,2
"29",110003,2018,0,0,0,0,0,0,0,0,0,0,0,0
