"codmunres","ano","obitos_mat_totais","obitos_mat_diretos","obitos_mat_aborto","obitos_mat_hipertensao","obitos_mat_hemorragia","obitos_mat_infec_puerperal","nascidos"
"110001",2015,1,0,0,0,0,0,373
"110001",2021,1,1,1,0,0,0,357
"110002",2012,1,0,0,0,0,0,1339
"110002",2013,1,0,0,0,0,0,1654
"110002",2014,2,1,0,1,0,0,1647
"110002",2015,2,1,1,0,0,0,1783
"110002",2016,2,1,0,0,1,0,1662
"110002",2017,1,1,0,0,1,0,1724
"110002",2019,1,1,0,0,1,0,1729
"110002",2020,2,1,0,0,0,0,1507
"110002",2021,1,0,0,0,0,0,1545
"110002",2022,1,1,0,1,0,0,1505
"110004",2014,1,1,0,1,0,0,1307
"110004",2016,1,1,0,0,1,0,1338
"110004",2020,3,1,1,0,0,0,1325
"110005",2016,1,1,0,0,0,0,263
"110006",2016,1,1,0,0,0,0,223
"110006",2017,1,1,0,0,0,1,243
"110006",2019,1,0,0,0,0,0,214
"110007",2022,1,0,0,0,0,0,103
"110009",2012,1,1,0,1,0,0,476
"110009",2018,1,1,0,0,0,0,476
"110010",2014,1,1,0,0,0,0,923
"110010",2017,1,1,0,1,0,0,842
"110010",2020,3,2,0,1,1,0,858
"110010",2022,1,1,0,0,0,0,748
"110011",2017,2,1,0,0,1,0,846
"110011",2018,1,1,0,0,1,0,911
"110011",2020,2,2,0,0,1,0,892
"110011",2021,2,0,0,0,0,0,920
"110012",2014,2,2,0,1,0,1,1956
"110012",2017,3,2,0,0,0,0,2050
"110012",2018,1,1,0,1,0,0,2278
"110012",2019,2,2,0,0,2,0,2182
"110012",2021,2,0,0,0,0,0,1972
"110013",2013,1,1,0,1,0,0,514
"110013",2022,1,1,0,0,0,0,498
"110014",2022,1,1,0,1,0,0,236
"110015",2014,1,1,0,0,0,0,674
"110015",2017,2,1,0,1,0,0,578
"110015",2021,1,0,0,0,0,0,538
"110018",2013,1,1,0,1,0,0,581
"110018",2021,1,1,0,0,1,0,573
"110018",2022,1,0,0,0,0,0,587
"110020",2012,8,6,0,2,1,0,8941
"110020",2013,7,4,1,2,0,0,8927
"110020",2014,8,5,1,3,0,0,9130
"110020",2015,5,4,0,0,1,1,9093
"110020",2016,8,6,1,0,1,1,8611
"110020",2017,5,4,0,2,0,0,8800
"110020",2018,4,2,0,1,0,0,8752
"110020",2019,6,4,0,1,1,0,8437
"110020",2020,5,1,0,0,0,0,7893
"110020",2021,14,0,0,0,0,0,7703
"110020",2022,3,1,0,0,1,0,7354
"110025",2014,1,0,0,0,0,0,289
"110025",2021,2,0,0,0,0,0,254
"110025",2022,1,1,0,0,0,0,294
"110028",2012,1,1,0,0,0,1,927
"110028",2015,1,0,0,0,0,0,936
"110028",2016,1,1,0,0,0,0,855
"110028",2021,4,1,0,0,0,0,816
"110030",2012,2,1,0,0,0,1,1269
"110030",2013,3,3,0,1,0,0,1388
"110030",2014,3,3,0,0,1,1,1418
"110030",2015,1,1,0,0,0,1,1535
"110030",2018,1,1,0,0,1,0,1557
"110030",2020,2,0,0,0,0,0,1553
"110030",2021,5,1,1,0,0,0,1623
"110032",2016,1,1,0,0,1,0,337
"110033",2012,1,1,0,0,0,1,383
"110033",2020,1,1,0,0,1,0,423
"110033",2021,1,0,0,0,0,0,469
"110034",2015,1,1,0,1,0,0,200
"110034",2018,1,1,0,0,0,0,162
"110034",2021,1,0,0,0,0,0,200
"110037",2017,1,1,0,0,0,0,172
