"codmunres","ano","nascidos_condicoes_ameacadoras","nascidos_estabelecimentos_publicos_sih","internacoes_na_macro_1_a_6_dias","internacoes_fora_macro_1_a_6_dias","internacoes_geral_1_a_6_dias","internacoes_na_macro_7_a_27_dias","internacoes_fora_macro_7_a_27_dias","internacoes_geral_7_a_27_dias","internacoes_na_macro_0_dias","internacoes_fora_macro_0_dias","internacoes_geral_0_dias","internacoes_na_macro_geral","internacoes_fora_macro_geral","internacoes_geral_geral","internacoes_fora_macro_0_dias_internado_uti","internacoes_fora_macro_1_a_6_dias_internado_uti","internacoes_fora_macro_7_a_27_dias_internado_uti","internacoes_na_macro_0_dias_internado_uti","internacoes_na_macro_1_a_6_dias_internado_uti","internacoes_na_macro_7_a_27_dias_internado_uti","internacoes_na_macro_geral_internado_uti","internacoes_fora_macro_geral_internado_uti","internacoes_geral_7_a_27_dias_internado_uti","internacoes_geral_1_a_6_dias_internado_uti","internacoes_geral_0_dias_internado_uti","internacoes_geral_geral_internado_uti"
"110001",2012,3,151,1,1,2,4,3,7,6,4,10,11,8,19,2,1,2,0,0,0,0,5,2,1,2,5
"110001",2013,9,161,1,0,1,2,1,3,1,7,8,4,8,12,6,0,0,0,0,0,0,6,0,0,6,6
"110001",2014,8,159,0,2,2,0,0,0,2,2,4,2,4,6,1,2,0,0,0,0,0,3,0,2,1,3
"110001",2015,6,185,2,3,5,1,1,2,0,7,7,3,11,14,6,1,0,0,0,0,0,7,0,1,6,7
"110001",2016,6,172,1,1,2,1,1,2,1,5,6,3,7,10,3,0,0,0,0,0,0,3,0,0,3,3
"110001",2017,4,224,1,6,7,1,2,3,1,3,4,3,11,14,3,3,0,0,0,0,0,6,0,3,3,6
"110001",2018,5,276,1,2,3,2,0,2,0,3,3,3,5,8,3,1,0,0,0,0,0,4,0,1,3,4
"110001",2019,7,271,1,1,2,2,0,2,0,14,14,3,15,18,12,0,0,0,0,0,0,12,0,0,12,12
"110001",2020,3,236,4,2,6,2,1,3,1,6,7,7,9,16,4,0,1,0,0,0,0,5,1,0,4,5
"110001",2021,7,234,2,0,2,1,1,2,0,1,1,3,2,5,1,0,0,0,0,0,0,1,0,0,1,1
"110002",2012,31,794,22,0,22,7,0,7,35,1,36,64,1,65,1,0,0,12,3,0,15,1,0,3,13,16
"110002",2013,34,917,21,0,21,12,0,12,40,0,40,73,0,73,0,0,0,16,2,0,18,0,0,2,16,18
"110002",2014,32,825,39,0,39,11,0,11,44,0,44,94,0,94,0,0,0,15,6,0,21,0,0,6,15,21
"110002",2015,28,930,38,0,38,26,1,27,47,1,48,111,2,113,0,0,0,11,4,0,15,0,0,4,11,15
"110002",2016,53,978,44,0,44,17,0,17,85,1,86,146,1,147,0,0,0,23,6,3,32,0,3,6,23,32
"110002",2017,29,1075,44,0,44,38,0,38,71,2,73,153,2,155,1,0,0,16,4,0,20,1,0,4,17,21
"110002",2018,27,1124,46,0,46,35,0,35,62,0,62,143,0,143,0,0,0,18,2,2,22,0,2,2,18,22
"110002",2019,28,1245,47,0,47,45,0,45,52,0,52,144,0,144,0,0,0,12,3,4,19,0,4,3,12,19
"110002",2020,37,942,39,0,39,31,0,31,41,0,41,111,0,111,0,0,0,13,3,1,17,0,1,3,13,17
"110002",2021,45,911,56,0,56,58,0,58,31,0,31,145,0,145,0,0,0,8,3,1,12,0,1,3,8,12
"110003",2012,2,41,3,0,3,1,0,1,4,1,5,8,1,9,1,0,0,0,0,0,0,1,0,0,1,1
"110003",2013,1,31,1,0,1,0,0,0,6,0,6,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"110003",2014,5,40,6,0,6,1,0,1,8,2,10,15,2,17,1,0,0,0,0,0,0,1,0,0,1,1
"110003",2015,1,60,8,0,8,3,1,4,7,2,9,18,3,21,2,0,0,0,0,0,0,2,0,0,2,2
"110003",2016,0,53,4,0,4,1,0,1,5,0,5,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0
