"LBE_FETAL","CID"
"Demais causas (não claramente evitáveis)","A17"
"Demais causas (não claramente evitáveis)","A19"
"Demais causas (não claramente evitáveis)","A33"
"Demais causas (não claramente evitáveis)","A35"
"Demais causas (não claramente evitáveis)","A36"
"Demais causas (não claramente evitáveis)","A37"
"Reduzíveis por adequada atenção à mulher na gestação","A50"
"Reduzíveis por adequada atenção à mulher na gestação","A500"
"Reduzíveis por adequada atenção à mulher na gestação","A501"
"Reduzíveis por adequada atenção à mulher na gestação","A502"
"Demais causas (não claramente evitáveis)","A503"
"Demais causas (não claramente evitáveis)","A504"
"Demais causas (não claramente evitáveis)","A505"
"Demais causas (não claramente evitáveis)","A506"
"Demais causas (não claramente evitáveis)","A507"
"Reduzíveis por adequada atenção à mulher na gestação","A509"
"Demais causas (não claramente evitáveis)","A80"
"Demais causas (não claramente evitáveis)","B05"
"Demais causas (não claramente evitáveis)","B06"
"Demais causas (não claramente evitáveis)","B16"
"Reduzíveis por adequada atenção à mulher na gestação","B20"
"Reduzíveis por adequada atenção à mulher na gestação","B21"
"Reduzíveis por adequada atenção à mulher na gestação","B22"
"Reduzíveis por adequada atenção à mulher na gestação","B23"
"Reduzíveis por adequada atenção à mulher na gestação","B24"
"Demais causas (não claramente evitáveis)","B26"
"Demais causas (não claramente evitáveis)","G000"
"Reduzíveis por adequada atenção à mulher na gestação","P00"
"Reduzíveis por adequada atenção à mulher na gestação","P01"
"Reduzíveis por adequada atenção à mulher no parto","P020"
"Reduzíveis por adequada atenção à mulher no parto","P021"
"Reduzíveis por adequada atenção à mulher na gestação","P022"
"Reduzíveis por adequada atenção à mulher na gestação","P023"
"Reduzíveis por adequada atenção à mulher no parto","P024"
"Reduzíveis por adequada atenção à mulher no parto","P025"
"Reduzíveis por adequada atenção à mulher no parto","P026"
"Reduzíveis por adequada atenção à mulher na gestação","P027"
"Reduzíveis por adequada atenção à mulher na gestação","P028"
"Reduzíveis por adequada atenção à mulher na gestação","P029"
"Reduzíveis por adequada atenção à mulher no parto","P03"
"Reduzíveis por adequada atenção à mulher na gestação","P04"
"Reduzíveis por adequada atenção à mulher na gestação","P05"
"Reduzíveis por adequada atenção à mulher na gestação","P07"
"Reduzíveis por adequada atenção à mulher no parto","P080"
"Reduzíveis por adequada atenção à mulher no parto","P081"
"Reduzíveis por adequada atenção à mulher na gestação","P082"
"Reduzíveis por adequada atenção à mulher no parto","P10"
"Reduzíveis por adequada atenção à mulher no parto","P11"
"Reduzíveis por adequada atenção à mulher no parto","P12"
"Reduzíveis por adequada atenção à mulher no parto","P13"
"Reduzíveis por adequada atenção à mulher no parto","P14"
"Reduzíveis por adequada atenção à mulher no parto","P15"
"Reduzíveis por adequada atenção à mulher na gestação","P200"
"Reduzíveis por adequada atenção à mulher no parto","P201"
"Causas de morte mal-definidas","P209"
"Demais causas (não claramente evitáveis)","P21"
"Demais causas (não claramente evitáveis)","P22"
"Demais causas (não claramente evitáveis)","P23"
"Demais causas (não claramente evitáveis)","P24"
"Demais causas (não claramente evitáveis)","P25"
"Demais causas (não claramente evitáveis)","P26"
"Demais causas (não claramente evitáveis)","P27"
"Demais causas (não claramente evitáveis)","P28"
"Causas de morte mal-definidas","P293"
"Causas de morte mal-definidas","P298"
"Causas de morte mal-definidas","P299"
"Imunoprevenção","P350"
"Demais causas (não claramente evitáveis)","P351"
"Demais causas (não claramente evitáveis)","P352"
"Imunoprevenção","P353"
"Demais causas (não claramente evitáveis)","P354"
"Demais causas (não claramente evitáveis)","P358"
"Demais causas (não claramente evitáveis)","P359"
"Demais causas (não claramente evitáveis)","P36"
"Demais causas (não claramente evitáveis)","P360"
"Demais causas (não claramente evitáveis)","P361"
"Demais causas (não claramente evitáveis)","P362"
"Demais causas (não claramente evitáveis)","P363"
"Demais causas (não claramente evitáveis)","P364"
"Demais causas (não claramente evitáveis)","P365"
"Demais causas (não claramente evitáveis)","P368"
"Demais causas (não claramente evitáveis)","P369"
"Reduzíveis por adequada atenção à mulher na gestação","P370"
"Reduzíveis por adequada atenção à mulher na gestação","P371"
"Demais causas (não claramente evitáveis)","P372"
"Reduzíveis por adequada atenção à mulher na gestação","P373"
"Reduzíveis por adequada atenção à mulher na gestação","P374"
"Demais causas (não claramente evitáveis)","P375"
"Demais causas (não claramente evitáveis)","P378"
"Demais causas (não claramente evitáveis)","P379"
"Demais causas (não claramente evitáveis)","P38"
"Demais causas (não claramente evitáveis)","P390"
"Demais causas (não claramente evitáveis)","P391"
"Reduzíveis por adequada atenção à mulher na gestação","P392"
"Demais causas (não claramente evitáveis)","P393"
"Demais causas (não claramente evitáveis)","P394"
"Demais causas (não claramente evitáveis)","P398"
"Causas de morte mal-definidas","P399"
"Reduzíveis por adequada atenção à mulher na gestação","P50"
"Demais causas (não claramente evitáveis)","P51"
"Reduzíveis por adequada atenção à mulher na gestação","P52"
"Demais causas (não claramente evitáveis)","P53"
"Demais causas (não claramente evitáveis)","P54"
"Reduzíveis por adequada atenção à mulher na gestação","P550"
"Reduzíveis por adequada atenção à mulher na gestação","P551"
"Reduzíveis por adequada atenção à mulher na gestação","P558"
"Causas de morte mal-definidas","P559"
"Reduzíveis por adequada atenção à mulher na gestação","P560"
"Reduzíveis por adequada atenção à mulher na gestação","P569"
"Reduzíveis por adequada atenção à mulher na gestação","P570"
"Reduzíveis por adequada atenção à mulher na gestação","P578"
"Reduzíveis por adequada atenção à mulher na gestação","P579"
"Demais causas (não claramente evitáveis)","P58"
"Demais causas (não claramente evitáveis)","P59"
"Demais causas (não claramente evitáveis)","P60"
"Demais causas (não claramente evitáveis)","P61"
"Reduzíveis por adequada atenção à mulher na gestação","P700"
"Reduzíveis por adequada atenção à mulher na gestação","P701"
"Demais causas (não claramente evitáveis)","P702"
"Demais causas (não claramente evitáveis)","P703"
"Demais causas (não claramente evitáveis)","P704"
"Demais causas (não claramente evitáveis)","P708"
"Demais causas (não claramente evitáveis)","P709"
"Demais causas (não claramente evitáveis)","P71"
"Demais causas (não claramente evitáveis)","P72"
"Demais causas (não claramente evitáveis)","P73"
"Demais causas (não claramente evitáveis)","P74"
"Demais causas (não claramente evitáveis)","P75"
"Demais causas (não claramente evitáveis)","P76"
"Demais causas (não claramente evitáveis)","P77"
"Demais causas (não claramente evitáveis)","P78"
"Demais causas (não claramente evitáveis)","P80"
"Demais causas (não claramente evitáveis)","P81"
"Demais causas (não claramente evitáveis)","P830"
"Demais causas (não claramente evitáveis)","P831"
"Causas de morte mal-definidas","P832"
"Causas de morte mal-definidas","P833"
"Demais causas (não claramente evitáveis)","P834"
"Demais causas (não claramente evitáveis)","P835"
"Demais causas (não claramente evitáveis)","P836"
"Demais causas (não claramente evitáveis)","P838"
"Causas de morte mal-definidas","P839"
"Demais causas (não claramente evitáveis)","P90"
"Demais causas (não claramente evitáveis)","P91"
"Demais causas (não claramente evitáveis)","P92"
"Demais causas (não claramente evitáveis)","P93"
"Demais causas (não claramente evitáveis)","P94"
"Causas de morte mal-definidas","P95"
"Demais causas (não claramente evitáveis)","P960"
"Demais causas (não claramente evitáveis)","P961"
"Demais causas (não claramente evitáveis)","P962"
"Demais causas (não claramente evitáveis)","P963"
"Reduzíveis por adequada atenção à mulher na gestação","P964"
"Reduzíveis por adequada atenção à mulher na gestação","P965"
"Causas de morte mal-definidas","P968"
"Causas de morte mal-definidas","P969"
"Demais causas (não claramente evitáveis)","Q90"
"Demais causas (não claramente evitáveis)","Q90"
"Demais causas (não claramente evitáveis)","Q900"
"Demais causas (não claramente evitáveis)","Q900"
"Demais causas (não claramente evitáveis)","Q900"
"Demais causas (não claramente evitáveis)","Q901"
"Demais causas (não claramente evitáveis)","Q901"
"Demais causas (não claramente evitáveis)","Q901"
"Demais causas (não claramente evitáveis)","Q902"
"Demais causas (não claramente evitáveis)","Q902"
"Demais causas (não claramente evitáveis)","Q902"
"Demais causas (não claramente evitáveis)","Q909"
"Demais causas (não claramente evitáveis)","Q909"
"Demais causas (não claramente evitáveis)","Q909"
"Causas de morte mal-definidas","R00"
"Causas de morte mal-definidas","R000"
"Causas de morte mal-definidas","R001"
"Causas de morte mal-definidas","R002"
"Causas de morte mal-definidas","R008"
"Causas de morte mal-definidas","R01"
"Causas de morte mal-definidas","R010"
"Causas de morte mal-definidas","R011"
"Causas de morte mal-definidas","R012"
"Causas de morte mal-definidas","R02"
"Causas de morte mal-definidas","R03"
"Causas de morte mal-definidas","R030"
"Causas de morte mal-definidas","R031"
"Causas de morte mal-definidas","R04"
"Causas de morte mal-definidas","R040"
"Causas de morte mal-definidas","R041"
"Causas de morte mal-definidas","R042"
"Causas de morte mal-definidas","R048"
"Causas de morte mal-definidas","R049"
"Causas de morte mal-definidas","R05"
"Causas de morte mal-definidas","R06"
"Causas de morte mal-definidas","R060"
"Causas de morte mal-definidas","R061"
"Causas de morte mal-definidas","R062"
"Causas de morte mal-definidas","R063"
"Causas de morte mal-definidas","R064"
"Causas de morte mal-definidas","R065"
"Causas de morte mal-definidas","R066"
"Causas de morte mal-definidas","R067"
"Causas de morte mal-definidas","R068"
"Causas de morte mal-definidas","R07"
"Causas de morte mal-definidas","R070"
"Causas de morte mal-definidas","R071"
"Causas de morte mal-definidas","R072"
"Causas de morte mal-definidas","R073"
"Causas de morte mal-definidas","R074"
"Causas de morte mal-definidas","R09"
"Causas de morte mal-definidas","R090"
"Causas de morte mal-definidas","R091"
"Causas de morte mal-definidas","R092"
"Causas de morte mal-definidas","R093"
"Causas de morte mal-definidas","R098"
"Causas de morte mal-definidas","R10"
"Causas de morte mal-definidas","R100"
"Causas de morte mal-definidas","R101"
"Causas de morte mal-definidas","R102"
"Causas de morte mal-definidas","R103"
"Causas de morte mal-definidas","R104"
"Causas de morte mal-definidas","R11"
"Causas de morte mal-definidas","R12"
"Causas de morte mal-definidas","R13"
"Causas de morte mal-definidas","R14"
"Causas de morte mal-definidas","R15"
"Causas de morte mal-definidas","R16"
"Causas de morte mal-definidas","R160"
"Causas de morte mal-definidas","R161"
"Causas de morte mal-definidas","R162"
"Causas de morte mal-definidas","R17"
"Causas de morte mal-definidas","R18"
"Causas de morte mal-definidas","R19"
"Causas de morte mal-definidas","R190"
"Causas de morte mal-definidas","R191"
"Causas de morte mal-definidas","R192"
"Causas de morte mal-definidas","R193"
"Causas de morte mal-definidas","R194"
"Causas de morte mal-definidas","R195"
"Causas de morte mal-definidas","R196"
"Causas de morte mal-definidas","R198"
"Causas de morte mal-definidas","R20"
"Causas de morte mal-definidas","R200"
"Causas de morte mal-definidas","R201"
"Causas de morte mal-definidas","R202"
"Causas de morte mal-definidas","R203"
"Causas de morte mal-definidas","R208"
"Causas de morte mal-definidas","R21"
"Causas de morte mal-definidas","R22"
"Causas de morte mal-definidas","R220"
"Causas de morte mal-definidas","R221"
"Causas de morte mal-definidas","R222"
"Causas de morte mal-definidas","R223"
"Causas de morte mal-definidas","R224"
"Causas de morte mal-definidas","R227"
"Causas de morte mal-definidas","R229"
"Causas de morte mal-definidas","R23"
"Causas de morte mal-definidas","R230"
"Causas de morte mal-definidas","R231"
"Causas de morte mal-definidas","R232"
"Causas de morte mal-definidas","R233"
"Causas de morte mal-definidas","R234"
"Causas de morte mal-definidas","R238"
"Causas de morte mal-definidas","R25"
"Causas de morte mal-definidas","R250"
"Causas de morte mal-definidas","R251"
"Causas de morte mal-definidas","R252"
"Causas de morte mal-definidas","R253"
